0,17,159,708,80,328
1,12,102,510,53,253
2,15,138,627,55,302
3,15,126,639,38,319
4,17,124,743,33,375
5,13,135,528,55,251
6,17,158,709,81,327
7,15,110,655,60,297
8,15,152,613,72,285
9,17,159,708,73,335
A,22,120,1002,35,526
B,17,193,674,100,308
C,19,122,847,82,377
D,22,191,931,103,458
E,16,134,682,98,310
F,16,122,694,98,310
G,21,145,926,80,430
H,22,203,919,101,460
I,8,96,312,48,156
J,12,117,495,17,289
K,21,175,896,113,397
L,17,111,756,96,312
M,25,207,1068,93,519
N,22,146,976,76,485
O,22,168,954,83,478
P,16,156,660,98,310
R,21,201,870,105,405
S,15,141,624,69,288
T,18,118,800,59,400
U,13,94,569,79,227
V,20,116,904,82,428
W,29,207,1272,102,612
X,21,145,926,65,445
Y,22,125,997,81,480
Z,16,134,682,67,341
